id,REG_YYMM,CARD_SIDO_NM,STD_CLSS_NM,AMT
328,202004,서울,건강보조식품 소매업,2632774295.0
329,202004,서울,골프장 운영업,853027439.0
330,202004,서울,과실 및 채소 소매업,25105338964.0
331,202004,서울,관광 민예품 및 선물용품 소매업,72690378.0
332,202004,서울,그외 기타 분류안된 오락관련 서비스업,0.0
333,202004,서울,그외 기타 스포츠시설 운영업,26645337.0
334,202004,서울,그외 기타 종합 소매업,68600431577.0
335,202004,서울,기타 대형 종합 소매업,158535484456.0
336,202004,서울,기타 수상오락 서비스업,7088813.0
337,202004,서울,기타 외국식 음식점업,11721286497.0
338,202004,서울,기타 주점업,1237541411.0
339,202004,서울,기타음식료품위주종합소매업,38066599027.0
340,202004,서울,내항 여객 운송업,2054617242.0
341,202004,서울,마사지업,252436117.0
342,202004,서울,면세점,296252390.0
343,202004,서울,버스 운송업,4623313038.0
344,202004,서울,비알콜 음료점업,40246204185.0
345,202004,서울,빵 및 과자류 소매업,21801808662.0
346,202004,서울,서양식 음식점업,51404146029.0
347,202004,서울,수산물 소매업,5188746385.0
348,202004,서울,슈퍼마켓,263098080900.0
349,202004,서울,스포츠 및 레크레이션 용품 임대업,25156817468.0
350,202004,서울,여관업,1785175670.0
351,202004,서울,여행사업,229985104.0
352,202004,서울,욕탕업,1833716433.0
353,202004,서울,육류 소매업,34039323345.0
354,202004,서울,일반유흥 주점업,1549432522.0
355,202004,서울,일식 음식점업,28326838337.0
356,202004,서울,자동차 임대업,230312302.0
357,202004,서울,전시 및 행사 대행업,131099490.0
358,202004,서울,정기 항공 운송업,4225069349.0
359,202004,서울,중식 음식점업,19399436565.0
360,202004,서울,차량용 가스 충전업,968200875.0
361,202004,서울,차량용 주유소 운영업,46244607834.0
362,202004,서울,체인화 편의점,142379284849.0
363,202004,서울,택시 운송업,113550120696.0
364,202004,서울,피자 햄버거 샌드위치 및 유사 음식점업,36712230046.0
365,202004,서울,한식 음식점업,286746578652.0
366,202004,서울,호텔업,3452298803.0
367,202004,서울,화장품 및 방향제 소매업,27062163862.0
368,202004,서울,휴양콘도 운영업,0.0
1025,202007,서울,건강보조식품 소매업,1848298810.0
1026,202007,서울,골프장 운영업,754856633.0
1027,202007,서울,과실 및 채소 소매업,15963920815.0
1028,202007,서울,관광 민예품 및 선물용품 소매업,72897140.0
1029,202007,서울,그외 기타 분류안된 오락관련 서비스업,0.0
1030,202007,서울,그외 기타 스포츠시설 운영업,30909246.0
1031,202007,서울,그외 기타 종합 소매업,62006259775.0
1032,202007,서울,기타 대형 종합 소매업,181532238721.0
1033,202007,서울,기타 수상오락 서비스업,7975794.0
1034,202007,서울,기타 외국식 음식점업,12642007866.0
1035,202007,서울,기타 주점업,1368443503.0
1036,202007,서울,기타음식료품위주종합소매업,46247529168.0
1037,202007,서울,내항 여객 운송업,2024778770.0
1038,202007,서울,마사지업,299318898.0
1039,202007,서울,면세점,428562238.0
1040,202007,서울,버스 운송업,5037930142.0
1041,202007,서울,비알콜 음료점업,37043073535.0
1042,202007,서울,빵 및 과자류 소매업,23812306960.0
1043,202007,서울,서양식 음식점업,68175157734.0
1044,202007,서울,수산물 소매업,2423019614.0
1045,202007,서울,슈퍼마켓,205976326769.0
1046,202007,서울,스포츠 및 레크레이션 용품 임대업,21589849400.0
1047,202007,서울,여관업,2517756911.0
1048,202007,서울,여행사업,358077603.0
1049,202007,서울,욕탕업,1640220763.0
1050,202007,서울,육류 소매업,29052383370.0
1051,202007,서울,일반유흥 주점업,4294738465.0
1052,202007,서울,일식 음식점업,29776499692.0
1053,202007,서울,자동차 임대업,253579838.0
1054,202007,서울,전시 및 행사 대행업,159565892.0
1055,202007,서울,정기 항공 운송업,6628327407.0
1056,202007,서울,중식 음식점업,22879117741.0
1057,202007,서울,차량용 가스 충전업,1088998730.0
1058,202007,서울,차량용 주유소 운영업,54927498058.0
1059,202007,서울,체인화 편의점,191505476458.0
1060,202007,서울,택시 운송업,134929045085.0
1061,202007,서울,피자 햄버거 샌드위치 및 유사 음식점업,34312649338.0
1062,202007,서울,한식 음식점업,304448190890.0
1063,202007,서울,호텔업,4471487257.0
1064,202007,서울,화장품 및 방향제 소매업,27779006028.0
1065,202007,서울,휴양콘도 운영업,0.0
41,202004,경기,건강보조식품 소매업,2511457347.0
42,202004,경기,골프장 운영업,42380086107.0
43,202004,경기,과실 및 채소 소매업,17943778589.0
44,202004,경기,관광 민예품 및 선물용품 소매업,181603867.0
45,202004,경기,그외 기타 분류안된 오락관련 서비스업,0.0
46,202004,경기,그외 기타 스포츠시설 운영업,12002061.0
47,202004,경기,그외 기타 종합 소매업,17393813461.0
48,202004,경기,기타 대형 종합 소매업,233793316841.0
49,202004,경기,기타 수상오락 서비스업,87028292.0
50,202004,경기,기타 외국식 음식점업,14060563328.0
51,202004,경기,기타 주점업,1476251527.0
52,202004,경기,기타음식료품위주종합소매업,38582922684.0
53,202004,경기,내항 여객 운송업,9292326.0
54,202004,경기,마사지업,280720661.0
55,202004,경기,면세점,0.0
56,202004,경기,버스 운송업,3494585295.0
57,202004,경기,비알콜 음료점업,22997595637.0
58,202004,경기,빵 및 과자류 소매업,28084345697.0
59,202004,경기,서양식 음식점업,34602510959.0
60,202004,경기,수산물 소매업,7466454458.0
61,202004,경기,슈퍼마켓,326465551020.0
62,202004,경기,스포츠 및 레크레이션 용품 임대업,25792411998.0
63,202004,경기,여관업,4110821841.0
64,202004,경기,여행사업,17437408.0
65,202004,경기,욕탕업,2411443553.0
66,202004,경기,육류 소매업,40386287800.0
67,202004,경기,일반유흥 주점업,7720286663.0
68,202004,경기,일식 음식점업,13672079682.0
69,202004,경기,자동차 임대업,2335993988.0
70,202004,경기,전시 및 행사 대행업,1186158462.0
71,202004,경기,정기 항공 운송업,0.0
72,202004,경기,중식 음식점업,25847107436.0
73,202004,경기,차량용 가스 충전업,4657074338.0
74,202004,경기,차량용 주유소 운영업,227600090116.0
75,202004,경기,체인화 편의점,178399333297.0
76,202004,경기,택시 운송업,132581272.0
77,202004,경기,피자 햄버거 샌드위치 및 유사 음식점업,24713544909.0
78,202004,경기,한식 음식점업,418854241030.0
79,202004,경기,호텔업,113414049.0
80,202004,경기,화장품 및 방향제 소매업,9804396082.0
81,202004,경기,휴양콘도 운영업,59638433.0
738,202007,경기,건강보조식품 소매업,1910406543.0
739,202007,경기,골프장 운영업,26498558374.0
740,202007,경기,과실 및 채소 소매업,10539446151.0
741,202007,경기,관광 민예품 및 선물용품 소매업,195097306.0
742,202007,경기,그외 기타 분류안된 오락관련 서비스업,0.0
743,202007,경기,그외 기타 스포츠시설 운영업,13070833.0
744,202007,경기,그외 기타 종합 소매업,20697315074.0
745,202007,경기,기타 대형 종합 소매업,239394878854.0
746,202007,경기,기타 수상오락 서비스업,107862991.0
